test_id,profile,embedding_model,embeddings_table,question,latency_ms,keyword_recall,source_document_hit,matched_keywords,matched_source_documents,answer,reference_answer
SJ-RET-001,small,text-embedding-3-small,test_documents_embeddings_small,데모판 001호 | 「달」 탐구하기——「달의 신의 축복」 문서의 핵심 내용을 알려주세요.,3770.4,1.0,True,"[""데모판"", ""달"", ""달의 신의 축복""]","[""NVC-GDE-100""]",,이 문서는 「달」 탐구하기와 「달의 신의 축복」에 대한 안내입니다. 답변은 해당 문서의 제목과 본문에서 확인되는 핵심 내용만 요약해야 합니다.
SJ-RET-002,small,text-embedding-3-small,test_documents_embeddings_small,"꿈의 창조, 그 시작을 향해——UGC 콘텐츠 개발자 노트 문서는 어떤 내용을 다루나요?",1005.35,1.0,True,"[""UGC"", ""개발자 노트"", ""콘텐츠""]","[""NVC-GDE-104""]",,"이 문서는 UGC 콘텐츠 개발자 노트로, 대규모 콘텐츠 개발 진행 상황과 컨셉 일부를 공유하는 안내입니다. 답변은 개발자 노트 문서의 내용에 근거해야 합니다."
SJ-RET-003,small,text-embedding-3-small,test_documents_embeddings_small,느긋한 휴양촌 리뷰 칼럼! 평점부터 체크해서 후회 없는 휴가를! 문서의 안내 내용을 요약해 주세요.,998.67,1.0,True,"[""느긋한 휴양촌"", ""리뷰"", ""히든 임무""]","[""NVC-GDE-105""]",,이 문서는 느긋한 휴양촌 리뷰 칼럼과 히든 임무 리뷰를 소개하는 안내입니다. 스포일러와 집계 기준일에 대한 주의도 함께 안내합니다.
SJ-RET-004,small,text-embedding-3-small,test_documents_embeddings_small,"바람이 멈추고, 전설이… 침몰하는 곳 문서에서 설명하는 지역은 어떤 곳인가요?",883.4,1.0,True,"[""테노치즈톡"", ""잿더미 바다"", ""심연""]","[""NVC-GDE-112""]",,"이 문서는 테노치즈톡 서부의 광활한 지역과 잿더미 바다, 심연의 침공이 남긴 슬픔의 땅에 대해 설명합니다."
SJ-RET-005,small,text-embedding-3-small,test_documents_embeddings_small,상시 전투 콘텐츠 「지맥 제압전」 오픈! 플레이에 도움이 되는 팁을 확인해 보세요! 문서의 핵심을 알려주세요.,1209.31,1.0,True,"[""지맥 제압전"", ""상시 전투"", ""보상"", ""팁""]","[""NVC-GDE-126""]",,"이 문서는 상시 전투 콘텐츠 지맥 제압전의 기본 규칙, 획득 가능한 보상, 이벤트 기간, 플레이 팁을 안내합니다."
SJ-RET-006,small,text-embedding-3-small,test_documents_embeddings_small,5.7 버전 출시 카운트다운——스커크와 관련된 문제를 몇 개나 맞힐 수 있는지 확인해 보세요! 문서는 무엇을 안내하나요?,1108.0,1.0,True,"[""5.7"", ""스커크"", ""퀴즈"", ""카운트다운""]","[""NVC-GDE-132""]",,이 문서는 5.7 버전 출시 카운트다운과 스커크 관련 정보를 바탕으로 한 퀴즈 챌린지를 안내합니다.
SJ-RET-007,small,text-embedding-3-small,test_documents_embeddings_small,벚꽃이 가져와 준 축복——묶음 기원 「하늘을 가르는 뇌명」 오픈 임박! 문서의 내용을 알려주세요.,959.95,1.0,True,"[""묶음 기원"", ""하늘을 가르는 뇌명"", ""무기"", ""캐릭터""]","[""NVC-GDE-137""]",,"이 문서는 묶음 기원 「하늘을 가르는 뇌명」 오픈이 임박했음을 알리고, 이벤트 기간에 묶음 기원으로 무기와 캐릭터를 획득해 파티를 강화할 수 있음을 안내합니다."
SJ-RET-008,small,text-embedding-3-small,test_documents_embeddings_small,「조화의 왈츠」 이벤트 안내 문서는 어떤 이벤트를 설명하나요?,620.55,1.0,True,"[""조화의 왈츠"", ""이벤트"", ""안내""]","[""NVC-GDE-142""]",,이 문서는 「조화의 왈츠」 이벤트에 대한 안내입니다. 답변은 해당 이벤트 안내 문서에서 확인되는 참여 내용과 핵심 정보를 요약해야 합니다.
SJ-RET-009,small,text-embedding-3-small,test_documents_embeddings_small,「영광의 꽃 대격전」 콘텐츠 안내 문서의 핵심 내용을 요약해 주세요.,797.0,1.0,True,"[""영광의 꽃 대격전"", ""콘텐츠"", ""안내""]","[""NVC-GDE-153""]",,이 문서는 「영광의 꽃 대격전」 콘텐츠를 안내합니다. 답변은 문서 본문에서 확인되는 콘텐츠 개요와 참여 안내를 중심으로 요약해야 합니다.
SJ-RET-010,small,text-embedding-3-small,test_documents_embeddings_small,5.5 버전 출시 카운트다운——몇 문제나 맞힐 수 있는지 확인해 보세요! 문서는 어떤 내용을 담고 있나요?,924.62,1.0,True,"[""5.5"", ""카운트다운"", ""문제"", ""퀴즈""]","[""NVC-GDE-156""]",,이 문서는 5.5 버전 출시 카운트다운과 관련 퀴즈 또는 문제 풀이 콘텐츠를 안내하는 문서입니다.
